# qdac_LB_set	qdac_bias_left_set	dmm1_curr	dmm2_curr	lockin1_conductance	lockin2_conductance	lockin3_conductance	lockin4_conductance
# "Left Barrier"	"DCbias_left"	"current_right"	"current_left"	"Conductance dIL/dVL"	"Conductance dIR/dVL"	"Conductance dIL/dVR"	"Conductance dIR/dVR"
# 201	121
-0.84	-9.5e-05	8.69048481e-12	4.98865738e-11	0.00403435295104781	-0.00111348844435695	-0.000657802719809823	0.0319539590437849
-0.84	-9e-05	8.99978945e-12	4.94619082e-11	0.00318098322332817	-0.000433202891052159	-0.00100688136225518	0.0320744982598545
-0.84	-8.5e-05	7.97195845e-12	4.87643437e-11	0.00315502100951814	-0.000391988949034834	-6.78166293963525e-05	0.0318089564919719
-0.84	-8e-05	7.66282437e-12	4.85939248e-11	0.00251385109670237	-0.000720118587403808	0.000597762087990333	0.0313756551997539
-0.84	-7.5e-05	8.04815256e-12	4.73794382e-11	0.00380006544594598	0.000835298758013992	0.000508274905639331	0.0319729122491261
-0.84	-7e-05	8.16353956e-12	4.70403319e-11	0.0021886452538778	0.000712871117456192	-0.0006987807636569	0.0319804732960525
-0.84	-6.5e-05	7.89357269e-12	4.54097895e-11	0.00194938957375614	0.000647587658720868	-0.00156979905761329	0.0319995058038777
-0.84	-6e-05	7.04575934e-12	4.41616665e-11	0.00282690115573668	-0.000974788018140059	-0.00124340060668003	0.0316664095712205
-0.84	-5.5e-05	7.9638301e-12	4.28495402e-11	0.00554809190738655	-0.00044400613797815	-0.000864903656442608	0.0314442980172809
-0.84	-5e-05	8.13373683e-12	4.08016628e-11	0.00712866135441349	0.00102434996057563	-0.00156784436298345	0.0313751274304318
-0.84	-4.5e-05	7.26866907e-12	3.9709294e-11	0.00717385945849988	0.00104969467754195	-0.00131808961253795	0.0314062685508741
-0.84	-4e-05	6.95607421e-12	3.76674586e-11	0.00713019612382698	0.00105508875960664	-0.000217380644361747	0.0317207451933008
-0.84	-3.5e-05	7.07087066e-12	3.53528721e-11	0.00655806007026435	-0.000466326009052121	-0.000260147365386054	0.0320873616101133
-0.84	-3e-05	8.70498086e-12	3.44149025e-11	0.00401281661561756	-0.00119575806594986	-0.00117418430130502	0.0310544023279549
-0.84	-2.5e-05	8.38950843e-12	3.30961546e-11	0.00286514067020703	-0.000325288541785749	-0.00230273382405593	0.0302976605193009
-0.84	-2e-05	7.28559702e-12	3.16941956e-11	0.0038770787387225	0.000376753756379422	-0.00260666072155061	0.0299796207508708
-0.84	-1.5e-05	6.78745129e-12	3.04872334e-11	0.00353116119993953	0.00028736922668558	-0.00153896284003093	0.0303679303975649
-0.84	-9.99999999999997e-06	7.13921152e-12	2.97835974e-11	0.00304389926138308	-0.000174692840901108	-0.00237060635158177	0.0300910894456701
-0.84	-5.00000000000001e-06	6.6189109e-12	2.85799414e-11	0.00444119570766072	-0.000830698124401159	-0.00148754481789196	0.0296213119146295
-0.84	0	6.43513536e-12	2.82930442e-11	0.00423602746097199	-0.000423579006737985	-0.000678040312132899	0.0297307214889078
-0.84	5.00000000000001e-06	8.04598659e-12	2.76719863e-11	0.00435087333217087	5.5549989248078e-05	-0.0010696782980262	0.0299611406229489
-0.84	9.99999999999997e-06	8.38563133e-12	2.65239859e-11	0.00567001480881937	0.000651756488915695	-0.00169187270141581	0.0300540608264745
-0.84	1.5e-05	7.70466374e-12	2.58031746e-11	0.00517285788038459	0.000124393198636208	-0.00215091436672801	0.0301268902493349
-0.84	2e-05	7.54320081e-12	2.45980049e-11	0.0042328608454621	-0.000851484251511916	-0.00111501595006449	0.0306530297083989
